project_code;project_name;studio
13042;SEA BREEZE VERANDAS BAUILIDING D REDESIGN;STUDIO 1
13056;THE VERANDA (PHASE2 BUILDING A2 + B2);STUDIO 3
13058;BPI CEBU CORPORATE CENTER;STUDIO 3
13089;NORTHGATE ALABANG BPO;STUDIO 3
13113;ALVEO DESIGN STANDARDS AND GUIDELINES;STUDIO 3
13121;HSS VERVE RESIDENCES TOWER 2;STUDIO 3
14048;LEGASPI MIXED-USED DEVELOPMENT;STUDIO 2
14098;CENTRIS WALK EXTENSION - RETAIL STRIP;STUDIO 1
14099;WIDUS CLARK TOWER 3;STUDIO 1
14101;ETON CITY MASTERPLANNING;STUDIO 1
14112;THE BAY MALL;STUDIO 3
15005;HERMES BOUTIQUE GRRENBELT 3;STUDIO 2
15009;MAXIMS HOTEL LOCAL COUNTERPART ID;undefined
15019;WIDUS MIXED-USE DEVELOPMENT;STUDIO 1
15023;ETON CENTRIS MASTERPLANNING;STUDIO 1
15041;HMRID WAREHOUSE;STUDIO 3
15058;GRIND GASTROPUB RESTAURANT;STUDIO 2
15070;VERTIS NORTH PARCEL O SITE PLANNING;STUDIO 2
15086;CITI TOWER LEVEL 31 PILOT FITOUT;STUDIO 2
15094;SHERATON BACK OFFICE;STUDIO 2
15106;SUNTECH IPARK BPO BUILDING 2;STUDIO 3
15130;IMMACULATE CONCEPTION ACADEMY;STUDIO 1
15166;SUPERSTAR MASTERPLAN;STUDIO 1
15173;KIDZANIA BOH EXTENSION OFFICE;STUDIO 2
16025;CIVIL REGISTRY - IT PROJECT PHASE 2;STUDIO 6
16030;CITI PLAZA ADDTL ID SERVICES;STUDIO 2
16031;CITI PLAZA EGD;STUDIO 2
16105;ETON CITY STAND ALONE RETAILS;STUDIO 1
16137;GENSLER CITI PLAZA 16F;STUDIO 2
17022;ATLAS OFFICE ID ENHANCEMENT;STUDIO 2
17047;LA FILIPINA BGC-ID;STUDIO 3
17122;CGC MASTERPLAN;STUDIO 4
17126;AG NEW WORLD ANNEX BUILDING;STUDIO 1
17150;MANDANI BAY BOARDWALK;STUDIO 5
17153;GAMING CAFE OUTLET;STUDIO 4
18008;GUADANOVILLE MASTERPLANNING;undefined
18068;MAKINO OFFICE ID;STUDIO 2
18148;L'AVENIR CLARK;STUDIO 1
18165;NET PARK AURORA CODE REVIEW;STUDIO 2
18171;*LUISITA-BTS OFFICE TEST-FIT;STUDIO 1
18213;*ACCI RENOVATION PROJECT;STUDIO 2
18216;MANULIFE 6789 RENOVATION;STUDIO 2
18217;ROBINSONS LUISITA VILLAS TEST FIT;STUDIO 1
18229;DLI BPO BULACAN;STUDIO 3
18235;DINSMORE RENDERING;STUDIO 2
18262;*ULI LIBRARY ID;STUDIO 2
19001;ISOC CLARK SCALE MODEL;STUDIO 4
19040;UDENNA 10TH AND 11TH FLOOR DESIGN BUILD;STUDIO 2
19059;PROJECT GARNET - BIM;STUDIO 1
19087;PROJECT CORAL RENDERING;STUDIO 2
19111;*ROD HENSON RESIDENCE;STUDIO 2
19128;JUNCTION RENDERING;STUDIO 2
19163;ISOC BPO;STUDIO 4
19174;DLI CLARK DORMITEL;STUDIO 3
19186;PARKLINKS RENDERING;STUDIO 2
19226;THE JUNCTION PLACE RENDERING;STUDIO 2
19246;ISOC CLARK CASINO;undefined
19252;P&G NET PARK RENOVATION;STUDIO 2
19265;PROJECT HOLLOW;STUDIO 6
