project_code;stage_name;description;date_start;date_close;is_onhold;U_CoreServices
13042;Project Initiation;Mobilization;4-4-2013;4-4-2013;\N;S020
13042;Schematic Design;Concept/Schematic;4-4-2013;5-31-2013;\N;S020
13042;Design Development;\N;6-1-2013;8-31-2013;\N;S020
13042;Contract Documentation;\N;9-1-2013;12-20-2013;\N;S020
13042;Construction Administration;\N;1-1-2014;1-31-2016;\N;S020
13056;Design Development;\N;6-9-2014;1-24-2015;\N;\N
13056;Contract Documentation;\N;1-26-2015;7-18-2016;\N;\N
13056;Construction Administration;\N;5-1-2015;8-31-2018;\N;\N
13056;Project Initiation;\N;7-9-2013;7-9-2013;\N;\N
13056;Schematic Design;\N;7-9-2013;6-6-2014;\N;\N
13058;Project Initiation;\N;6-1-2013;6-1-2013;\N;\N
13058;Schematic Design;\N;6-6-2013;8-30-2013;\N;\N
13058;Design Development;\N;9-3-2013;12-16-2013;\N;\N
13058;Contract Documentation;\N;1-10-2014;8-20-2014;\N;\N
13058;Construction Administration;\N;8-29-2014;7-16-2018;\N;\N
13089;Project Initiation;\N;8-30-2013;8-30-2013;\N;\N
13089;Schematic Design;\N;10-15-2013;12-14-2013;\N;\N
13089;Design Development;\N;12-15-2013;2-1-2014;\N;\N
13089;Contract Documentation;\N;2-2-2014;4-2-2014;\N;\N
13089;Construction Administration;\N;7-10-2014;1-9-2016;\N;\N
13113;Project Initiation;\N;1-21-2014;\N;\N;\N
13113;Planning and Programming;\N;1-22-2014;2-28-2014;\N;\N
13113;Contract Documentation;\N;3-3-2014;1-9-2017;\N;\N
13121;Design Development;\N;2-1-2014;4-30-2014;\N;S020
13121;Contract Documentation;\N;5-1-2014;8-31-2014;\N;S020
13121;Construction Administration;\N;12-1-2016;3-31-2020;\N;S020
13121;Project Initiation;\N;12-2-2013;12-2-2013;\N;S020
13121;Schematic Design;\N;1-1-2014;1-31-2014;\N;S020
14048;Schematic Design;\N;5-30-2015;\N;\N;\N
14048;Design Development;\N;1-1-2016;\N;\N;\N
14048;Contract Documentation;\N;1-1-2017;\N;\N;\N
14048;Construction Administration;\N;1-1-2018;\N;\N;\N
14048;Project Initiation;\N;5-27-2014;5-27-2014;\N;\N
14048;Final Masterplanning;\N;5-27-2014;5-30-2015;\N;\N
14098;Project Initiation;Mobilization;3-30-2016;3-30-2016;N;S020
14098;Schematic Design;Concept & Schematic;4-1-2016;8-31-2016;N;S020
14098;Design Development;\N;9-1-2016;2-28-2017;N;S020
14098;Contract Documentation;\N;3-1-2017;7-31-2017;N;S020
14098;Construction Administration;\N;8-1-2017;4-30-2018;N;S020
14099;Project Initiation;\N;10-1-2014;10-1-2014;N;S020
14099;Conceptual Masterplanning;\N;10-1-2014;11-30-2014;Y;S020
14099;Final Masterplanning;\N;12-1-2014;1-30-2015;N;S020
14101;Project Initiation;\N;12-11-2015;12-11-2015;N;S010
14101;Conceptual Masterplanning;\N;12-11-2015;1-15-2016;N;S010
14101;Final Masterplanning;\N;1-18-2016;2-26-2016;N;S010
14112;Project Initiation;\N;7-17-2015;7-17-2015;\N;\N
14112;Schematic Design;\N;7-18-2015;10-18-2015;\N;\N
14112;Design Development;\N;10-19-2015;12-18-2015;\N;\N
14112;Contract Documentation;\N;12-19-2015;3-18-2016;\N;\N
14112;Construction Administration;\N;4-1-2016;3-31-2019;\N;\N
15005;Construction Administration;CA & Post CA;2-16-2015;5-31-2017;\N;\N
15005;Design Development;DD & Permit;3-23-2015;6-17-2015;\N;\N
15005;Contract Documentation;CD & Tender;2-17-2015;3-4-2016;\N;\N
15005;Project Initiation;\N;2-16-2015;2-16-2015;\N;\N
15005;Schematic Design;Prelim Design;2-6-2015;5-29-2015;\N;\N
15019;Project Initiation;\N;10-12-2012;12-11-2015;N;S020
15019;Schematic Design;\N;10-12-2012;7-7-2014;N;S020
15019;Design Development;\N;2-22-2013;12-2-2014;N;S020
15019;Contract Documentation;\N;1-28-2013;11-15-2016;N;S020
15019;Construction Administration;\N;4-1-2016;9-30-2018;N;S020
15023;Project Initiation;\N;11-1-2016;6-30-2017;N;S010
15023;Conceptual Masterplanning;\N;7-1-2017;2-28-2018;N;S010
15041;Data Collection and Analysis;\N;3-1-2015;\N;\N;\N
15041;Project Initiation;\N;3-15-2015;3-15-2015;\N;S020
15041;Schematic Design;\N;3-16-2015;5-30-2015;\N;S020
15041;Design Development;\N;6-1-2015;11-14-2015;\N;S020
15041;Contract Documentation;\N;11-15-2015;4-15-2016;\N;S020
15041;Construction Administration;\N;4-1-2016;12-31-2016;\N;S020
15058;Concept Design;\N;5-4-2015;3-8-2016;\N;\N
15058;Schematic Design;\N;5-4-2015;3-8-2016;\N;\N
15058;Design Development;\N;5-4-2015;3-8-2016;\N;\N
15058;Contract Documentation;\N;6-4-2015;4-11-2016;\N;\N
15058;Construction Administration;\N;4-1-2016;3-31-2017;\N;\N
15058;Project Initiation;\N;5-4-2015;5-4-2015;\N;\N
15070;Project Initiation;\N;5-21-2015;5-21-2015;\N;\N
15070;Final Masterplanning;\N;5-21-2015;8-3-2017;\N;\N
15086;Project Initiation;\N;7-6-2015;7-6-2015;\N;\N
15086;Contract Documentation;\N;7-6-2015;1-18-2016;\N;\N
15086;Construction Administration;\N;8-4-2015;2-29-2016;\N;\N
15094;Project Initiation;\N;8-6-2015;8-6-2015;\N;\N
15094;Concept Design;\N;8-6-2015;10-17-2016;\N;\N
15094;Design Development;\N;8-17-2015;5-5-2016;\N;\N
15094;Detailed Design;\N;8-13-2015;1-24-2018;\N;\N
15094;Construction Administration;\N;1-29-2016;8-10-2018;\N;\N
15106;Contract Documentation;\N;9-29-2016;12-14-2017;\N;S020
15106;Project Initiation;\N;1-13-2016;1-13-2016;\N;S020
15106;Schematic Design;\N;1-14-2016;9-26-2016;\N;S020
15106;Design Development;\N;9-27-2016;9-28-2016;\N;S020
15106;Construction Administration;\N;12-16-2017;12-31-2018;\N;S020
15130;Others;\N;4-18-2016;4-30-2018;\N;\N
15130;Project Initiation;\N;4-18-2016;4-18-2016;\N;\N
15130;Schematic Design;Pre-Design/Programming/ Concept/;4-18-2016;7-15-2016;\N;\N
15130;Contract Documentation;Design Development/ Contract Documentation;7-19-2016;12-16-2016;\N;\N
15130;Construction Administration;\N;1-1-2017;4-30-2018;\N;\N
15166;Project Initiation;\N;8-12-2015;8-12-2015;\N;\N
15166;Conceptual Masterplanning;\N;8-12-2015;9-11-2015;\N;\N
15166;Final Masterplanning;\N;10-12-2015;11-11-2015;\N;\N
15173;Project Initiation;\N;4-1-2016;4-1-2016;\N;\N
15173;Contract Documentation;\N;4-1-2016;7-20-2016;\N;\N
15173;Construction Administration;\N;3-31-2016;12-5-2016;\N;\N
16025;Project Initiation;Stage 2: Milestone 1;3-1-2016;3-1-2016;\N;\N
16025;Concept Design;Stage 1;3-1-2016;8-31-2016;\N;\N
16025;Preliminary Architecture and Engineering Design;Stage 2: MIlestone 2;9-1-2016;10-31-2016;\N;\N
16025;Detailed Architecture and Engineering Design;Stage 2: Milestone 3;11-1-2016;11-30-2016;\N;\N
16025;Detailed Architecture and Engineering Design;Stage 2: Milestone 4;12-1-2016;12-31-2016;\N;\N
16025;For Construction Drawings;Stage 2: MIlestone 5;1-1-2017;3-31-2017;\N;\N
16025;Construction Administration;\N;4-1-2017;3-31-2019;\N;\N
16030;Project Initiation;\N;3-4-2016;3-4-2016;\N;\N
16030;Contract Documentation;\N;3-4-2016;6-30-2016;\N;\N
16031;Project Initiation;\N;5-31-2016;5-31-2016;\N;\N
16031;Schematic Design;\N;5-31-2016;5-11-2017;\N;\N
16031;Construction Administration;\N;8-2-2016;3-8-2018;\N;\N
16105;Project Initiation;Mobilization;7-21-2017;7-21-2017;\N;S020
16105;Schematic Design;Concept/ Schematic;7-24-2017;12-20-2017;\N;S020
16105;Detailed Design;DD / CD;1-1-2018;2-28-2018;\N;S020
16105;Construction Administration;Construction;3-1-2018;2-28-2019;\N;S020
16137;Project Initiation;\N;1-25-2017;1-25-2017;\N;\N
16137;Detailed Design;\N;1-25-2017;11-20-2017;\N;\N
16137;Construction Administration;\N;4-27-2017;11-21-2017;\N;\N
17022;Project Initiation;\N;2-21-2017;2-21-2017;\N;\N
17022;Schematic Design;Preliminary Design;2-21-2017;2-12-2020;\N;\N
17022;Detailed Design;\N;2-21-2017;2-12-2020;\N;\N
